pair,point_estimate,boot_mean,boot_std,ci_lo_2.5,ci_hi_97.5
original vs shaped_terminal_corrected,0.396634,0.395599,0.027502,0.349813,0.448472
original vs naive_log_shaped,0.396634,0.401474,0.032528,0.355213,0.476147
original vs base_work,0.396634,0.397290,0.028772,0.347871,0.453244
original vs ref_linear,0.673048,0.672303,0.011244,0.651302,0.694141
original vs ref_quadratic,0.720302,0.719500,0.008851,0.701783,0.735112
shaped_terminal_corrected vs naive_log_shaped,0.000000,0.000000,0.000000,0.000000,0.000000
shaped_terminal_corrected vs base_work,0.000000,0.000000,0.000000,0.000000,0.000000
shaped_terminal_corrected vs ref_linear,0.555549,0.550364,0.015722,0.516703,0.572449
shaped_terminal_corrected vs ref_quadratic,0.633615,0.629923,0.020111,0.589294,0.661696
naive_log_shaped vs base_work,0.000000,0.000000,0.000000,0.000000,0.000000
naive_log_shaped vs ref_linear,0.555549,0.552949,0.011071,0.533185,0.569541
naive_log_shaped vs ref_quadratic,0.633615,0.635915,0.015837,0.606517,0.664617
base_work vs ref_linear,0.555549,0.553219,0.010910,0.528935,0.572326
base_work vs ref_quadratic,0.633615,0.631908,0.017515,0.593247,0.663458
ref_linear vs ref_quadratic,0.137223,0.139134,0.007883,0.121511,0.153169
