pair,point_estimate,boot_mean,boot_std,ci_lo_2.5,ci_hi_97.5
original vs pbrs,0.494381,0.492312,0.051503,0.404063,0.595369
original vs naive_log_shaped,0.494381,0.494943,0.054157,0.400959,0.602333
original vs base_work,0.494381,0.496625,0.057140,0.385444,0.606089
original vs ref_linear,0.689371,0.689709,0.006663,0.677069,0.702349
original vs ref_quadratic,0.707713,0.706940,0.006386,0.693076,0.717516
pbrs vs naive_log_shaped,0.000000,0.000000,0.000000,0.000000,0.000000
pbrs vs base_work,0.000000,0.000000,0.000000,0.000000,0.000000
pbrs vs ref_linear,0.481239,0.475727,0.022516,0.429821,0.507838
pbrs vs ref_quadratic,0.523575,0.516946,0.028437,0.452353,0.560252
naive_log_shaped vs base_work,0.000000,0.000000,0.000000,0.000000,0.000000
naive_log_shaped vs ref_linear,0.481239,0.477478,0.024019,0.424714,0.509823
naive_log_shaped vs ref_quadratic,0.523575,0.519634,0.026859,0.449930,0.563851
base_work vs ref_linear,0.481239,0.475447,0.024198,0.422319,0.511331
base_work vs ref_quadratic,0.523575,0.516126,0.029057,0.443331,0.559773
ref_linear vs ref_quadratic,0.101893,0.101983,0.003129,0.095787,0.109350
