pair,point_estimate,boot_mean,boot_std,ci_lo_2.5,ci_hi_97.5
original vs pbrs,0.399874,0.398827,0.027569,0.353443,0.451524
original vs naive_log_shaped,0.399874,0.404722,0.032693,0.358267,0.480253
original vs base_work,0.399874,0.400660,0.028833,0.350669,0.455830
original vs ref_linear,0.678107,0.677377,0.010712,0.657281,0.698081
original vs ref_quadratic,0.720500,0.719700,0.008863,0.701979,0.735336
pbrs vs naive_log_shaped,0.000000,0.000000,0.000000,0.000000,0.000000
pbrs vs base_work,0.000000,0.000000,0.000000,0.000000,0.000000
pbrs vs ref_linear,0.552409,0.546895,0.017725,0.505287,0.569781
pbrs vs ref_quadratic,0.623661,0.619703,0.021567,0.575361,0.654046
naive_log_shaped vs base_work,0.000000,0.000000,0.000000,0.000000,0.000000
naive_log_shaped vs ref_linear,0.552409,0.549567,0.011920,0.526027,0.568298
naive_log_shaped vs ref_quadratic,0.623661,0.625916,0.016766,0.595263,0.656108
base_work vs ref_linear,0.552409,0.549790,0.011703,0.525474,0.570941
base_work vs ref_quadratic,0.623661,0.621774,0.018639,0.580564,0.655172
ref_linear vs ref_quadratic,0.131105,0.132733,0.006826,0.117387,0.144859
